id,vertex,lat,lon,name,localityName,code,direction,description,locationType,locationSubType,wheelchairBoarding,routeIds,stopColorType,style,parentStationId,type
BKK_CSF00936,BKK:BKK_CSF00936,47.510462,19.0567,Nyugati pályaudvar,1062,CSF00936,,mc~`HumisBNANDLLFRBVAV}CrUETKNOFQ?MIwDuDA?qDyDMSEY@[HWLQfNwIFC\M,1,stop-area,False,[],BUS,"{'colors': ['000000'], 'type': 'PRIORITY', 'image': 'stop-icon-M3'}",,
BKK_CSF00940,BKK:BKK_CSF00940,47.506715,19.055143,Báthory utca / Bajcsy-Zsilinszky út,1065,CSF00940,,_o}`HauhsBFT?VCVIPML_ErBODOCMKISEWWcH?[HWNQPEfCBTDNTnAjD,1,stop-area,False,[],BUS,"{'colors': ['000000', '009EE3', 'E41F18']}",,
BKK_CSF00945,BKK:BKK_CSF00945,47.500009,19.055603,Bajcsy-Zsilinszky út,1061,CSF00945,,sg|`H{vhsB?ZGXKRQFQ?QMgB_CISEY@[HWLOPEPBrAp@LLHJJ^JbA,1,stop-area,False,[],BUS,"{'colors': ['FFD800', '000000', '009EE3'], 'type': 'PRIORITY', 'image': 'stop-icon-M1'}",,
BKK_CS072858,BKK:BKK_CS072858,47.505896,19.047993,Kossuth Lajos tér,1055,CS072858,,od}`HywfsB@VAXITMLoGpDQBQCMOIUwI{i@CYBYHUNMPAdFPB?pANLFLLFRnHfc@,1,stop-area,False,[],BUS,"{'colors': ['FFD800', 'E41F18', '009EE3'], 'type': 'PRIORITY', 'image': 'stop-icon-M2'}",,
BKK_CSF00990,BKK:BKK_CSF00990,47.50897,19.050341,Markó utca,1055,CSF00990,,kd~`He|gsBA[DWJSNKNANFLPFV|@fI?XCXKROJO@QIMOGW{@gI,1,stop-area,False,[],BUS,{'colors': ['009EE3']},,
BKK_CSF00956,BKK:BKK_CSF00956,47.503647,19.054758,Arany János utca,1054,CSF00956,,i{|`H}thsBLPDX@XGXKROH}Cj@M?sE_@QGKQGYAYDYLSNI|GuAN?NFrAhA,1,stop-area,False,[],BUS,"{'colors': ['005CA5', '000000', '009EE3', 'E41F18'], 'type': 'PRIORITY', 'image': 'stop-icon-M3'}",,
BKK_CSF00968,BKK:BKK_CSF00968,47.509001,19.046677,"Országház, látogatóközpont",1055,CSF00968,,wc~`Hk_gsBMMIUCYBYHULMPENDz@b@LNHTBXCXIRMNQBOC{@e@,1,stop-area,False,[],BUS,{'colors': ['FFD800']},,
BKK_CSF00974,BKK:BKK_CSF00974,47.500255,19.046474,Széchenyi István tér,1051,CSF00974,,mc|`HgegsBP@PLHTDXCZIVOL{IbEMDq@@OCOKGUEW@YHUdA}BLOLEdIkA,1,stop-area,False,[],BUS,"{'colors': ['FFD800', '000000', '009EE3']}",,
BKK_CS048506,BKK:BKK_CS048506,47.500207,19.054845,Szent István Bazilika,1051,CS048506,,}l|`H{shsBEY@YFWLONGP@LJJRXfADXAXGTMPOFOAOKKSYgA,1,stop-area,False,[],BUS,"{'colors': ['000000', '009EE3', 'E41F18']}",,
BKK_CS011325,BKK:BKK_CS011325,47.50224,19.035339,Halászbástya (Schulek Frigyes lépcső),1014,CS011325,,_x|`H_|dsBNDNLFTBXCXGTOLODQEMMIUCYBYHULMPE,1,stop-area,False,[],BUS,"{'colors': ['000000', '009EE3']}",,
BKK_CS062942,BKK:BKK_CS062942,47.501636,19.077828,Péterfy Sándor utca,1077,CS062942,,gt|`HqemsBPDLLHTBXCXITMLQDOEOMGUCYBYFUNMNE,1,stop-area,False,[],BUS,{'colors': ['E41F18']},,
BKK_CS009026,BKK:BKK_CS009026,47.505219,19.057721,Zichy Jenő utca,1065,CS009026,,mi}`HidisBIVKNQFOAOMKSCY?YJs@FWLONGP@NLHRDVAXIt@,1,stop-area,False,[],BUS,{'colors': ['E41F18']},,
